id,from,to
194,mammal.n.01,placental.n.01
195,placental.n.01,aquatic_mammal.n.01
196,aquatic_mammal.n.01,cetacean.n.01
197,cetacean.n.01,whale.n.02
198,whale.n.02,baleen_whale.n.01
199,baleen_whale.n.01,rorqual.n.01
200,rorqual.n.01,sei_whale.n.01
201,mammal.n.01,placental.n.01
202,placental.n.01,edentate.n.01
203,mammal.n.01,placental.n.01
204,placental.n.01,pachyderm.n.01
205,pachyderm.n.01,elephant.n.01
206,elephant.n.01,mammoth.n.01
207,mammoth.n.01,woolly_mammoth.n.01
208,mammal.n.01,placental.n.01
209,placental.n.01,proboscidean.n.01
210,proboscidean.n.01,elephant.n.01
211,elephant.n.01,mammoth.n.01
212,mammoth.n.01,woolly_mammoth.n.01
213,mammal.n.01,placental.n.01
214,placental.n.01,carnivore.n.01
215,carnivore.n.01,feline.n.01
216,feline.n.01,big_cat.n.01
217,big_cat.n.01,cheetah.n.01
218,mammal.n.01,placental.n.01
219,placental.n.01,rodent.n.01
220,rodent.n.01,rat.n.01
221,rat.n.01,pocket_rat.n.01
222,pocket_rat.n.01,gopher.n.04
223,gopher.n.04,plains_pocket_gopher.n.01
224,mammal.n.01,placental.n.01
225,placental.n.01,rodent.n.01
226,rodent.n.01,rat.n.01
227,rat.n.01,brown_rat.n.01
228,brown_rat.n.01,sewer_rat.n.01
229,mammal.n.01,placental.n.01
230,placental.n.01,carnivore.n.01
231,carnivore.n.01,feline.n.01
232,feline.n.01,cat.n.01
233,cat.n.01,wildcat.n.03
234,wildcat.n.03,tiger_cat.n.01
235,mammal.n.01,placental.n.01
236,placental.n.01,carnivore.n.01
237,carnivore.n.01,canine.n.02
238,canine.n.02,dog.n.01
239,dog.n.01,hunting_dog.n.01
240,hunting_dog.n.01,sporting_dog.n.01
241,sporting_dog.n.01,spaniel.n.01
242,spaniel.n.01,water_spaniel.n.01
243,mammal.n.01,placental.n.01
244,placental.n.01,rodent.n.01
245,rodent.n.01,gerbil.n.01
246,gerbil.n.01,jird.n.01
247,mammal.n.01,placental.n.01
248,placental.n.01,carnivore.n.01
249,carnivore.n.01,feline.n.01
250,feline.n.01,cat.n.01
251,cat.n.01,wildcat.n.03
252,wildcat.n.03,cougar.n.01
253,mammal.n.01,metatherian.n.01
254,metatherian.n.01,marsupial.n.01
255,marsupial.n.01,kangaroo.n.01
256,kangaroo.n.01,rat_kangaroo.n.01
257,rat_kangaroo.n.01,jerboa_kangaroo.n.01
258,mammal.n.01,placental.n.01
259,placental.n.01,ungulate.n.01
260,ungulate.n.01,dinocerate.n.01
261,mammal.n.01,placental.n.01
262,placental.n.01,rodent.n.01
263,rodent.n.01,rat.n.01
264,rat.n.01,pocket_rat.n.01
265,pocket_rat.n.01,pocket_mouse.n.01
266,pocket_mouse.n.01,silky_pocket_mouse.n.01
267,mammal.n.01,metatherian.n.01
268,metatherian.n.01,marsupial.n.01
269,marsupial.n.01,phalanger.n.01
270,mammal.n.01,placental.n.01
271,placental.n.01,primate.n.02
272,primate.n.02,monkey.n.01
273,monkey.n.01,old_world_monkey.n.01
274,old_world_monkey.n.01,proboscis_monkey.n.01
275,mammal.n.01,placental.n.01
276,placental.n.01,lagomorph.n.01
277,lagomorph.n.01,leporid.n.01
278,leporid.n.01,hare.n.01
279,hare.n.01,snowshoe_hare.n.01
280,mammal.n.01,placental.n.01
281,placental.n.01,ungulate.n.01
282,ungulate.n.01,odd-toed_ungulate.n.01
283,odd-toed_ungulate.n.01,equine.n.01
284,equine.n.01,horse.n.01
285,horse.n.01,saddle_horse.n.01
286,saddle_horse.n.01,warhorse.n.03
287,warhorse.n.03,cavalry_horse.n.01
288,mammal.n.01,placental.n.01
289,placental.n.01,rodent.n.01
290,rodent.n.01,gerbil.n.01
291,gerbil.n.01,tamarisk_gerbil.n.01
292,mammal.n.01,placental.n.01
293,placental.n.01,ungulate.n.01
294,ungulate.n.01,even-toed_ungulate.n.01
295,even-toed_ungulate.n.01,ruminant.n.01
296,ruminant.n.01,bovid.n.01
297,bovid.n.01,bison.n.01
298,bison.n.01,wisent.n.01
299,mammal.n.01,placental.n.01
300,placental.n.01,carnivore.n.01
301,carnivore.n.01,canine.n.02
302,canine.n.02,dog.n.01
303,dog.n.01,working_dog.n.01
304,working_dog.n.01,watchdog.n.02
305,watchdog.n.02,kuvasz.n.01
306,mammal.n.01,placental.n.01
307,placental.n.01,aquatic_mammal.n.01
308,aquatic_mammal.n.01,cetacean.n.01
309,cetacean.n.01,whale.n.02
310,whale.n.02,baleen_whale.n.01
311,baleen_whale.n.01,rorqual.n.01
312,mammal.n.01,placental.n.01
313,placental.n.01,carnivore.n.01
314,carnivore.n.01,canine.n.02
315,canine.n.02,dog.n.01
316,dog.n.01,working_dog.n.01
317,working_dog.n.01,seizure-alert_dog.n.01
318,mammal.n.01,placental.n.01
319,placental.n.01,ungulate.n.01
320,ungulate.n.01,even-toed_ungulate.n.01
321,even-toed_ungulate.n.01,swine.n.01
322,swine.n.01,hog.n.03
323,mammal.n.01,placental.n.01
324,placental.n.01,ungulate.n.01
325,ungulate.n.01,odd-toed_ungulate.n.01
326,odd-toed_ungulate.n.01,equine.n.01
327,equine.n.01,horse.n.01
328,horse.n.01,racehorse.n.01
329,racehorse.n.01,yearling.n.02
330,mammal.n.01,placental.n.01
331,placental.n.01,primate.n.02
332,primate.n.02,monkey.n.01
333,monkey.n.01,new_world_monkey.n.01
334,new_world_monkey.n.01,marmoset.n.01
335,mammal.n.01,placental.n.01
336,placental.n.01,carnivore.n.01
337,carnivore.n.01,feline.n.01
338,feline.n.01,big_cat.n.01
339,big_cat.n.01,saber-toothed_tiger.n.01
340,saber-toothed_tiger.n.01,smiledon_californicus.n.01
341,mammal.n.01,placental.n.01
342,placental.n.01,carnivore.n.01
343,carnivore.n.01,viverrine.n.01
344,mammal.n.01,placental.n.01
345,placental.n.01,carnivore.n.01
346,carnivore.n.01,feline.n.01
347,feline.n.01,cat.n.01
348,cat.n.01,wildcat.n.03
349,wildcat.n.03,lynx.n.02
350,lynx.n.02,bobcat.n.01
351,mammal.n.01,placental.n.01
352,placental.n.01,carnivore.n.01
353,carnivore.n.01,canine.n.02
354,canine.n.02,dog.n.01
355,dog.n.01,hunting_dog.n.01
356,hunting_dog.n.01,sporting_dog.n.01
357,sporting_dog.n.01,spaniel.n.01
358,spaniel.n.01,springer_spaniel.n.01
359,springer_spaniel.n.01,welsh_springer_spaniel.n.01
360,mammal.n.01,placental.n.01
361,placental.n.01,edentate.n.01
362,edentate.n.01,anteater.n.02
363,anteater.n.02,tamandua.n.01
364,mammal.n.01,placental.n.01
365,placental.n.01,doe.n.02
366,mammal.n.01,placental.n.01
367,placental.n.01,carnivore.n.01
368,carnivore.n.01,canine.n.02
369,canine.n.02,dog.n.01
370,dog.n.01,hunting_dog.n.01
371,hunting_dog.n.01,hound.n.01
372,hound.n.01,afghan_hound.n.01
373,mammal.n.01,placental.n.01
374,placental.n.01,carnivore.n.01
375,carnivore.n.01,canine.n.02
376,canine.n.02,dog.n.01
377,dog.n.01,working_dog.n.01
378,working_dog.n.01,watchdog.n.02
379,watchdog.n.02,pinscher.n.01
380,pinscher.n.01,affenpinscher.n.01
381,mammal.n.01,placental.n.01
382,placental.n.01,ungulate.n.01
383,ungulate.n.01,even-toed_ungulate.n.01
384,even-toed_ungulate.n.01,swine.n.01
385,swine.n.01,boar.n.02
386,mammal.n.01,metatherian.n.01
387,metatherian.n.01,marsupial.n.01
388,marsupial.n.01,kangaroo.n.01
389,mammal.n.01,metatherian.n.01
390,metatherian.n.01,marsupial.n.01
391,marsupial.n.01,opossum_rat.n.01
392,mammal.n.01,placental.n.01
393,placental.n.01,ungulate.n.01
394,ungulate.n.01,odd-toed_ungulate.n.01
395,odd-toed_ungulate.n.01,equine.n.01
396,equine.n.01,horse.n.01
397,horse.n.01,saddle_horse.n.01
398,saddle_horse.n.01,warhorse.n.03
399,warhorse.n.03,charger.n.01
400,mammal.n.01,placental.n.01
401,placental.n.01,aquatic_mammal.n.01
402,aquatic_mammal.n.01,cetacean.n.01
403,mammal.n.01,placental.n.01
404,placental.n.01,ungulate.n.01
405,ungulate.n.01,odd-toed_ungulate.n.01
406,odd-toed_ungulate.n.01,equine.n.01
407,equine.n.01,horse.n.01
408,horse.n.01,workhorse.n.02
409,workhorse.n.02,draft_horse.n.01
410,draft_horse.n.01,percheron.n.01
411,mammal.n.01,placental.n.01
412,placental.n.01,primate.n.02
413,primate.n.02,ape.n.01
414,mammal.n.01,prototherian.n.01
415,mammal.n.01,placental.n.01
416,placental.n.01,aquatic_mammal.n.01
417,aquatic_mammal.n.01,cetacean.n.01
418,cetacean.n.01,whale.n.02
419,whale.n.02,toothed_whale.n.01
420,toothed_whale.n.01,dwarf_sperm_whale.n.01
421,mammal.n.01,placental.n.01
422,placental.n.01,carnivore.n.01
423,carnivore.n.01,canine.n.02
424,canine.n.02,dog.n.01
425,dog.n.01,hunting_dog.n.01
426,hunting_dog.n.01,sporting_dog.n.01
427,sporting_dog.n.01,retriever.n.01
428,retriever.n.01,golden_retriever.n.01
429,mammal.n.01,placental.n.01
430,placental.n.01,rodent.n.01
431,rodent.n.01,rat.n.01
432,rat.n.01,brown_rat.n.01
433,mammal.n.01,placental.n.01
434,placental.n.01,rodent.n.01
435,rodent.n.01,squirrel.n.01
436,squirrel.n.01,tree_squirrel.n.01
437,tree_squirrel.n.01,western_grey_squirrel.n.01
438,mammal.n.01,placental.n.01
439,placental.n.01,ungulate.n.01
440,ungulate.n.01,odd-toed_ungulate.n.01
441,odd-toed_ungulate.n.01,equine.n.01
442,equine.n.01,horse.n.01
443,mammal.n.01,placental.n.01
444,placental.n.01,carnivore.n.01
445,carnivore.n.01,canine.n.02
446,canine.n.02,dog.n.01
447,dog.n.01,hunting_dog.n.01
448,mammal.n.01,placental.n.01
449,placental.n.01,carnivore.n.01
450,carnivore.n.01,canine.n.02
451,canine.n.02,dog.n.01
452,dog.n.01,hunting_dog.n.01
453,hunting_dog.n.01,terrier.n.01
454,terrier.n.01,soft-coated_wheaten_terrier.n.01
455,mammal.n.01,prototherian.n.01
456,prototherian.n.01,monotreme.n.01
457,monotreme.n.01,platypus.n.01
458,mammal.n.01,placental.n.01
459,placental.n.01,aquatic_mammal.n.01
460,aquatic_mammal.n.01,pinniped_mammal.n.01
461,pinniped_mammal.n.01,seal.n.09
462,seal.n.09,eared_seal.n.01
463,eared_seal.n.01,sea_lion.n.01
464,sea_lion.n.01,steller_sea_lion.n.01
465,mammal.n.01,placental.n.01
466,placental.n.01,edentate.n.01
467,edentate.n.01,armadillo.n.01
468,armadillo.n.01,apar.n.01
469,mammal.n.01,placental.n.01
470,placental.n.01,ungulate.n.01
471,ungulate.n.01,even-toed_ungulate.n.01
472,even-toed_ungulate.n.01,ruminant.n.01
473,ruminant.n.01,bovid.n.01
474,bovid.n.01,antelope.n.01
475,antelope.n.01,gazelle.n.01
476,gazelle.n.01,thomson's_gazelle.n.01
477,mammal.n.01,placental.n.01
478,placental.n.01,primate.n.02
479,primate.n.02,ape.n.01
480,ape.n.01,anthropoid_ape.n.01
481,anthropoid_ape.n.01,great_ape.n.01
482,great_ape.n.01,chimpanzee.n.01
483,chimpanzee.n.01,western_chimpanzee.n.01
484,mammal.n.01,placental.n.01
485,placental.n.01,rodent.n.01
486,rodent.n.01,jumping_mouse.n.01
487,jumping_mouse.n.01,meadow_jumping_mouse.n.01
488,mammal.n.01,placental.n.01
489,placental.n.01,carnivore.n.01
490,carnivore.n.01,canine.n.02
491,canine.n.02,dog.n.01
492,dog.n.01,hunting_dog.n.01
493,hunting_dog.n.01,terrier.n.01
494,terrier.n.01,skye_terrier.n.01
495,mammal.n.01,placental.n.01
496,placental.n.01,primate.n.02
497,primate.n.02,hominid.n.01
498,hominid.n.01,homo.n.02
499,homo.n.02,homo_habilis.n.01
500,mammal.n.01,placental.n.01
501,placental.n.01,primate.n.02
502,primate.n.02,monkey.n.01
503,monkey.n.01,new_world_monkey.n.01
504,new_world_monkey.n.01,marmoset.n.01
505,marmoset.n.01,pygmy_marmoset.n.01
506,mammal.n.01,placental.n.01
507,placental.n.01,primate.n.02
508,primate.n.02,monkey.n.01
509,monkey.n.01,old_world_monkey.n.01
510,old_world_monkey.n.01,macaque.n.01
511,mammal.n.01,placental.n.01
512,placental.n.01,bat.n.01
513,bat.n.01,carnivorous_bat.n.01
514,carnivorous_bat.n.01,leafnose_bat.n.01
515,leafnose_bat.n.01,false_vampire.n.01
516,mammal.n.01,placental.n.01
517,placental.n.01,ungulate.n.01
518,ungulate.n.01,even-toed_ungulate.n.01
519,even-toed_ungulate.n.01,ruminant.n.01
520,ruminant.n.01,deer.n.01
521,deer.n.01,red_deer.n.01
522,red_deer.n.01,hind.n.02
523,mammal.n.01,metatherian.n.01
524,metatherian.n.01,marsupial.n.01
525,marsupial.n.01,phalanger.n.01
526,phalanger.n.01,koala.n.01
527,mammal.n.01,placental.n.01
528,placental.n.01,carnivore.n.01
529,carnivore.n.01,canine.n.02
530,canine.n.02,wild_dog.n.01
531,wild_dog.n.01,crab-eating_dog.n.01
532,mammal.n.01,placental.n.01
533,placental.n.01,rodent.n.01
534,rodent.n.01,porcupine.n.01
535,porcupine.n.01,old_world_porcupine.n.01
536,mammal.n.01,placental.n.01
537,placental.n.01,carnivore.n.01
538,carnivore.n.01,canine.n.02
539,canine.n.02,dog.n.01
540,dog.n.01,hunting_dog.n.01
541,hunting_dog.n.01,terrier.n.01
542,terrier.n.01,fox_terrier.n.01
543,fox_terrier.n.01,smooth-haired_fox_terrier.n.01
544,mammal.n.01,placental.n.01
545,placental.n.01,edentate.n.01
546,edentate.n.01,mylodon.n.01
547,mammal.n.01,placental.n.01
548,placental.n.01,primate.n.02
549,primate.n.02,monkey.n.01
550,monkey.n.01,old_world_monkey.n.01
551,old_world_monkey.n.01,baboon.n.01
552,baboon.n.01,drill.n.02
553,mammal.n.01,placental.n.01
554,placental.n.01,rodent.n.01
555,rodent.n.01,wood_rat.n.01
556,wood_rat.n.01,vole.n.01
557,vole.n.01,water_vole.n.02
558,mammal.n.01,placental.n.01
559,placental.n.01,carnivore.n.01
560,carnivore.n.01,bear.n.01
561,bear.n.01,brown_bear.n.01
562,mammal.n.01,placental.n.01
563,placental.n.01,ungulate.n.01
564,ungulate.n.01,even-toed_ungulate.n.01
565,even-toed_ungulate.n.01,ruminant.n.01
566,ruminant.n.01,bovid.n.01
567,bovid.n.01,bovine.n.01
568,bovine.n.01,ox.n.02
569,ox.n.02,aurochs.n.02
570,mammal.n.01,placental.n.01
571,placental.n.01,ungulate.n.01
572,ungulate.n.01,even-toed_ungulate.n.01
573,even-toed_ungulate.n.01,ruminant.n.01
574,ruminant.n.01,bovid.n.01
575,bovid.n.01,antelope.n.01
576,antelope.n.01,kudu.n.01
577,mammal.n.01,placental.n.01
578,placental.n.01,rodent.n.01
579,rodent.n.01,marmot.n.01
580,marmot.n.01,yellowbelly_marmot.n.01
581,mammal.n.01,metatherian.n.01
582,metatherian.n.01,marsupial.n.01
583,marsupial.n.01,kangaroo.n.01
584,kangaroo.n.01,wallaby.n.01
585,wallaby.n.01,hare_wallaby.n.01
586,mammal.n.01,metatherian.n.01
587,metatherian.n.01,marsupial.n.01
588,marsupial.n.01,opossum.n.02
589,opossum.n.02,common_opossum.n.01
590,mammal.n.01,placental.n.01
591,placental.n.01,carnivore.n.01
592,carnivore.n.01,canine.n.02
593,canine.n.02,dog.n.01
594,dog.n.01,hunting_dog.n.01
595,hunting_dog.n.01,hound.n.01
596,hound.n.01,wolfhound.n.01
597,wolfhound.n.01,irish_wolfhound.n.01
598,mammal.n.01,placental.n.01
599,placental.n.01,ungulate.n.01
600,ungulate.n.01,even-toed_ungulate.n.01
601,even-toed_ungulate.n.01,ruminant.n.01
602,ruminant.n.01,bovid.n.01
603,bovid.n.01,bovine.n.01
604,bovine.n.01,ox.n.02
605,mammal.n.01,placental.n.01
606,placental.n.01,carnivore.n.01
607,carnivore.n.01,viverrine.n.01
608,viverrine.n.01,civet.n.01
609,civet.n.01,binturong.n.01
610,mammal.n.01,placental.n.01
611,placental.n.01,carnivore.n.01
612,carnivore.n.01,canine.n.02
613,canine.n.02,dog.n.01
614,dog.n.01,cur.n.01
615,cur.n.01,pariah_dog.n.01
616,mammal.n.01,placental.n.01
617,placental.n.01,edentate.n.01
618,edentate.n.01,anteater.n.02
619,anteater.n.02,ant_bear.n.01
620,mammal.n.01,placental.n.01
621,placental.n.01,ungulate.n.01
622,ungulate.n.01,even-toed_ungulate.n.01
623,even-toed_ungulate.n.01,ruminant.n.01
624,ruminant.n.01,bovid.n.01
625,bovid.n.01,antelope.n.01
626,antelope.n.01,bongo.n.02
627,mammal.n.01,placental.n.01
628,placental.n.01,ungulate.n.01
629,ungulate.n.01,odd-toed_ungulate.n.01
630,odd-toed_ungulate.n.01,equine.n.01
631,equine.n.01,horse.n.01
632,horse.n.01,racehorse.n.01
633,racehorse.n.01,thoroughbred.n.02
634,thoroughbred.n.02,whirlaway.n.01
635,mammal.n.01,placental.n.01
636,placental.n.01,carnivore.n.01
637,carnivore.n.01,viverrine.n.01
638,viverrine.n.01,civet.n.01
639,civet.n.01,fanaloka.n.01
640,mammal.n.01,placental.n.01
641,placental.n.01,primate.n.02
642,primate.n.02,hominid.n.01
643,hominid.n.01,homo.n.02
644,homo.n.02,homo_soloensis.n.01
645,homo_soloensis.n.01,solo_man.n.01
646,mammal.n.01,placental.n.01
647,placental.n.01,ungulate.n.01
648,ungulate.n.01,even-toed_ungulate.n.01
649,even-toed_ungulate.n.01,ruminant.n.01
650,ruminant.n.01,bovid.n.01
651,bovid.n.01,bovine.n.01
652,bovine.n.01,cattle.n.01
653,cattle.n.01,stirk.n.01
654,mammal.n.01,placental.n.01
655,placental.n.01,carnivore.n.01
656,carnivore.n.01,canine.n.02
657,canine.n.02,dog.n.01
658,dog.n.01,hunting_dog.n.01
659,hunting_dog.n.01,hound.n.01
660,hound.n.01,scottish_deerhound.n.01
661,mammal.n.01,placental.n.01
662,placental.n.01,carnivore.n.01
663,carnivore.n.01,canine.n.02
664,canine.n.02,dog.n.01
665,dog.n.01,poodle.n.01
666,poodle.n.01,standard_poodle.n.01
667,mammal.n.01,placental.n.01
668,placental.n.01,pangolin.n.01
669,mammal.n.01,placental.n.01
670,placental.n.01,carnivore.n.01
671,carnivore.n.01,canine.n.02
672,canine.n.02,dog.n.01
673,dog.n.01,hunting_dog.n.01
674,hunting_dog.n.01,terrier.n.01
675,terrier.n.01,west_highland_white_terrier.n.01
676,mammal.n.01,placental.n.01
677,placental.n.01,rodent.n.01
678,rodent.n.01,squirrel.n.01
679,squirrel.n.01,ground_squirrel.n.02
680,mammal.n.01,placental.n.01
681,placental.n.01,primate.n.02
682,primate.n.02,hominid.n.01
683,hominid.n.01,australopithecine.n.01
684,australopithecine.n.01,zinjanthropus.n.01
685,mammal.n.01,placental.n.01
686,placental.n.01,carnivore.n.01
687,carnivore.n.01,canine.n.02
688,canine.n.02,hyena.n.01
689,hyena.n.01,brown_hyena.n.01
690,mammal.n.01,placental.n.01
691,placental.n.01,ungulate.n.01
692,ungulate.n.01,even-toed_ungulate.n.01
693,even-toed_ungulate.n.01,ruminant.n.01
694,ruminant.n.01,pronghorn.n.01
695,mammal.n.01,placental.n.01
696,placental.n.01,aquatic_mammal.n.01
697,aquatic_mammal.n.01,cetacean.n.01
698,cetacean.n.01,whale.n.02
699,whale.n.02,toothed_whale.n.01
700,toothed_whale.n.01,dolphin.n.02
701,dolphin.n.02,killer_whale.n.01
702,mammal.n.01,placental.n.01
703,placental.n.01,ungulate.n.01
704,ungulate.n.01,odd-toed_ungulate.n.01
705,odd-toed_ungulate.n.01,equine.n.01
706,equine.n.01,horse.n.01
707,horse.n.01,polo_pony.n.01
708,mammal.n.01,placental.n.01
709,placental.n.01,ungulate.n.01
710,ungulate.n.01,odd-toed_ungulate.n.01
711,odd-toed_ungulate.n.01,equine.n.01
712,equine.n.01,ass.n.03
713,ass.n.03,wild_ass.n.01
714,wild_ass.n.01,onager.n.02
715,onager.n.02,chigetai.n.01
716,mammal.n.01,placental.n.01
717,placental.n.01,rodent.n.01
