id,A,B
74,gallant_fox.n.01,mammal.n.01
75,silky_tamarin.n.01,mammal.n.01
76,warhorse.n.03,mammal.n.01
77,urial.n.01,ungulate.n.01
78,watchdog.n.02,working_dog.n.01
79,jennet.n.01,ungulate.n.01
80,water_spaniel.n.01,spaniel.n.01
81,bronco.n.01,pony.n.01
82,wharf_rat.n.02,rat.n.01
83,welsh_springer_spaniel.n.01,dog.n.01
84,greater_kudu.n.01,ungulate.n.01
85,friesian.n.01,bovid.n.01
86,snow_leopard.n.01,feline.n.01
87,american_staffordshire_terrier.n.01,bullterrier.n.01
88,java_man.n.01,homo_erectus.n.01
89,american_flying_squirrel.n.01,squirrel.n.01
90,wild_ass.n.01,equine.n.01
91,wood_rabbit.n.01,mammal.n.01
92,heifer.n.01,even-toed_ungulate.n.01
93,bovine.n.01,bovid.n.01
94,tigress.n.01,mammal.n.01
95,hooded_skunk.n.01,placental.n.01
96,japanese_spaniel.n.01,dog.n.01
97,western_lowland_gorilla.n.01,anthropoid_ape.n.01
98,american_bison.n.01,mammal.n.01
99,water_buffalo.n.01,bovid.n.01
100,hognose_bat.n.01,mammal.n.01
101,smiledon_californicus.n.01,feline.n.01
102,american_water_spaniel.n.01,placental.n.01
103,wood_mouse.n.01,mammal.n.01
104,brabancon_griffon.n.01,mammal.n.01
105,little_brown_bat.n.01,vespertilian_bat.n.01
106,fox_terrier.n.01,carnivore.n.01
107,kiang.n.01,wild_ass.n.01
108,cashmere_goat.n.01,bovid.n.01
109,silky_pocket_mouse.n.01,pocket_mouse.n.01
110,setter.n.02,canine.n.02
111,imperial_mammoth.n.01,pachyderm.n.01
112,big-eared_bat.n.01,mammal.n.01
113,chesapeake_bay_retriever.n.01,dog.n.01
114,common_zebra.n.01,equine.n.01
115,collared_peccary.n.01,placental.n.01
116,hominoid.n.01,placental.n.01
117,hereford.n.01,placental.n.01
118,eurasian_otter.n.01,otter.n.02
119,crab-eating_macaque.n.01,placental.n.01
120,airedale.n.01,placental.n.01
121,american_saddle_horse.n.01,horse.n.01
122,bezoar_goat.n.01,placental.n.01
123,collie.n.01,dog.n.01
124,american_mink.n.01,placental.n.01
125,sussex_spaniel.n.01,carnivore.n.01
126,spaniel.n.01,dog.n.01
127,appenzeller.n.01,carnivore.n.01
128,eastern_chimpanzee.n.01,placental.n.01
129,plow_horse.n.01,odd-toed_ungulate.n.01
130,pichiciago.n.01,mammal.n.01
131,cardigan.n.02,mammal.n.01
132,hackney.n.02,horse.n.01
133,harrier.n.02,hunting_dog.n.01
134,gaur.n.01,ruminant.n.01
135,swamp_rabbit.n.02,mammal.n.01
136,lion_cub.n.01,carnivore.n.01
137,basenji.n.01,canine.n.02
138,mouse-eared_bat.n.01,bat.n.01
139,great_pyrenees.n.01,placental.n.01
140,world.n.08,homo.n.02
141,protohippus.n.01,equine.n.01
142,tiger_cat.n.01,placental.n.01
143,ord_kangaroo_rat.n.01,rodent.n.01
144,european_rabbit.n.01,placental.n.01
145,mountain_goat.n.01,bovid.n.01
146,pine_marten.n.01,musteline_mammal.n.01
147,hart.n.03,even-toed_ungulate.n.01
148,gelding.n.01,placental.n.01
149,cotswold.n.01,ruminant.n.01
150,water_spaniel.n.01,canine.n.02
151,carnivorous_bat.n.01,placental.n.01
152,wheel_horse.n.01,workhorse.n.02
153,stud.n.04,horse.n.01
154,bellwether.n.02,ruminant.n.01
155,gemsbok.n.01,placental.n.01
156,standard_poodle.n.01,carnivore.n.01
157,kangaroo_rat.n.01,placental.n.01
158,mountain_sheep.n.01,mammal.n.01
159,porpoise.n.01,toothed_whale.n.01
160,numbat.n.01,mammal.n.01
161,puppy.n.01,placental.n.01
162,mongoose.n.01,placental.n.01
163,doe.n.02,mammal.n.01
164,miniature_poodle.n.01,dog.n.01
165,rabbit.n.01,leporid.n.01
166,great_dane.n.01,mammal.n.01
167,stablemate.n.01,horse.n.01
168,southern_flying_squirrel.n.01,american_flying_squirrel.n.01
169,duplicidentata.n.01,lagomorph.n.01
170,vervet.n.01,mammal.n.01
171,peba.n.01,mammal.n.01
172,zebu.n.01,ungulate.n.01
173,naked_mole_rat.n.01,mammal.n.01
174,macaque.n.01,primate.n.02
175,stablemate.n.01,odd-toed_ungulate.n.01
176,horseshoe_bat.n.01,mammal.n.01
177,goat.n.01,ungulate.n.01
178,spotted_hyena.n.01,hyena.n.01
179,opossum_rat.n.01,mammal.n.01
180,afghan_hound.n.01,dog.n.01
181,mammoth.n.01,proboscidean.n.01
182,cape_buffalo.n.01,ungulate.n.01
183,jerboa_kangaroo.n.01,mammal.n.01
184,javanthropus.n.01,placental.n.01
185,bactrian_camel.n.01,mammal.n.01
186,belgian_sheepdog.n.01,carnivore.n.01
187,kelpie.n.02,shepherd_dog.n.01
188,vervet.n.01,monkey.n.01
189,broadtail.n.02,mammal.n.01
190,norwich_terrier.n.01,canine.n.02
191,common_dolphin.n.01,aquatic_mammal.n.01
192,saiga.n.01,ungulate.n.01
193,milking_shorthorn.n.01,bovid.n.01
194,malamute.n.01,placental.n.01
195,musk_deer.n.01,mammal.n.01
196,baleen_whale.n.01,whale.n.02
197,cavalry_horse.n.01,warhorse.n.03
198,gordon_setter.n.01,placental.n.01
199,walrus.n.01,pinniped_mammal.n.01
200,cairn.n.02,hunting_dog.n.01
201,impala.n.01,placental.n.01
202,pouched_mole.n.01,marsupial.n.01
203,dachshund.n.01,carnivore.n.01
204,northern_bog_lemming.n.01,rodent.n.01
205,leopardess.n.01,big_cat.n.01
206,wolf.n.01,canine.n.02
207,hognose_bat.n.01,bat.n.01
208,toy_manchester.n.01,terrier.n.01
209,basenji.n.01,carnivore.n.01
210,marmot.n.01,mammal.n.01
211,asiatic_flying_squirrel.n.01,rodent.n.01
212,arabian.n.02,ungulate.n.01
213,kerry_blue_terrier.n.01,hunting_dog.n.01
214,woodland_caribou.n.01,placental.n.01
215,silky_tamarin.n.01,placental.n.01
216,warhorse.n.03,placental.n.01
217,shetland_sheepdog.n.01,placental.n.01
218,ground_squirrel.n.02,placental.n.01
219,brabancon_griffon.n.01,dog.n.01
220,old_world_porcupine.n.01,placental.n.01
221,greater_kudu.n.01,even-toed_ungulate.n.01
222,cattle.n.01,mammal.n.01
223,lippizan.n.01,equine.n.01
224,golden_mole.n.01,mammal.n.01
225,domestic_sheep.n.01,placental.n.01
226,blacktail_jackrabbit.n.01,hare.n.01
227,ewe.n.03,even-toed_ungulate.n.01
228,fanaloka.n.01,viverrine.n.01
229,aberdeen_angus.n.01,mammal.n.01
230,brocket.n.02,mammal.n.01
231,blenheim_spaniel.n.01,mammal.n.01
232,gopher.n.04,rat.n.01
233,australopithecine.n.01,placental.n.01
234,shire.n.02,odd-toed_ungulate.n.01
235,house_mouse.n.01,rodent.n.01
236,banded_palm_civet.n.01,carnivore.n.01
237,post_horse.n.01,odd-toed_ungulate.n.01
238,caracal.n.01,cat.n.01
239,wisent.n.01,ungulate.n.01
240,steeplechaser.n.01,ungulate.n.01
241,roan.n.02,mammal.n.01
242,wether.n.01,bovid.n.01
243,indian_buffalo.n.01,ruminant.n.01
244,carabao.n.01,mammal.n.01
245,english_foxhound.n.01,carnivore.n.01
246,toy_spaniel.n.01,toy_dog.n.01
247,welsh_terrier.n.01,hunting_dog.n.01
248,new_world_tapir.n.01,placental.n.01
249,kid.n.05,mammal.n.01
250,barren_ground_caribou.n.01,deer.n.01
251,bear_cub.n.01,carnivore.n.01
252,blue_point_siamese.n.01,feline.n.01
253,redbone.n.01,dog.n.01
254,flickertail.n.01,squirrel.n.01
255,quarter_horse.n.01,saddle_horse.n.01
256,appenzeller.n.01,placental.n.01
257,fox_squirrel.n.01,mammal.n.01
258,gnu.n.01,even-toed_ungulate.n.01
259,monotreme.n.01,mammal.n.01
260,heifer.n.01,bovid.n.01
261,lippizan.n.01,odd-toed_ungulate.n.01
262,housedog.n.01,watchdog.n.02
263,cavalry_horse.n.01,equine.n.01
264,japanese_deer.n.01,placental.n.01
265,long-eared_bat.n.01,mammal.n.01
266,shire.n.02,draft_horse.n.01
267,mylodontid.n.01,mammal.n.01
268,bison.n.01,mammal.n.01
269,hampshire.n.02,ruminant.n.01
270,native_cat.n.01,metatherian.n.01
271,brocket.n.02,even-toed_ungulate.n.01
272,kelpie.n.02,working_dog.n.01
273,eastern_woodrat.n.01,mammal.n.01
274,argali.n.01,mammal.n.01
275,pollard.n.02,even-toed_ungulate.n.01
276,gib.n.02,cat.n.01
277,black-footed_ferret.n.01,mammal.n.01
278,tasmanian_devil.n.01,metatherian.n.01
279,longtail_weasel.n.01,musteline_mammal.n.01
280,kitty.n.04,domestic_cat.n.01
281,wild_horse.n.01,mammal.n.01
282,longtail_weasel.n.01,placental.n.01
283,mule.n.01,placental.n.01
284,insectivore.n.01,placental.n.01
285,ox.n.02,placental.n.01
286,samoyed.n.03,placental.n.01
287,brown_hyena.n.01,mammal.n.01
288,grey.n.07,horse.n.01
289,greyhound.n.01,dog.n.01
290,black-and-tan_coonhound.n.01,coonhound.n.01
291,indian_buffalo.n.01,bovid.n.01
292,columbian_mammoth.n.01,proboscidean.n.01
293,madagascar_cat.n.01,placental.n.01
294,stalking-horse.n.04,mammal.n.01
295,cro-magnon.n.01,homo_sapiens.n.01
296,racehorse.n.01,horse.n.01
297,farm_horse.n.01,placental.n.01
298,warrigal.n.01,ungulate.n.01
299,pricket.n.02,placental.n.01
300,sei_whale.n.01,placental.n.01
301,peba.n.01,placental.n.01
302,groenendael.n.01,placental.n.01
303,columbian_mammoth.n.01,pachyderm.n.01
304,colobus.n.01,old_world_monkey.n.01
305,coydog.n.01,carnivore.n.01
306,woolly_indris.n.01,mammal.n.01
307,miniature_pinscher.n.01,mammal.n.01
308,toy_dog.n.01,carnivore.n.01
309,lion_cub.n.01,lion.n.01
310,gemsbok.n.01,mammal.n.01
311,typical_jerboa.n.01,jerboa.n.01
312,welsh_pony.n.01,placental.n.01
313,dall_sheep.n.01,bovid.n.01
314,bushbuck.n.01,antelope.n.01
315,water_spaniel.n.01,dog.n.01
316,pocket_rat.n.01,placental.n.01
317,orangutan.n.01,primate.n.02
318,western_pipistrel.n.01,vespertilian_bat.n.01
319,staffordshire_bullterrier.n.01,hunting_dog.n.01
320,liver_chestnut.n.01,mammal.n.01
321,affenpinscher.n.01,working_dog.n.01
322,eastern_chipmunk.n.01,mammal.n.01
323,rhodesian_ridgeback.n.01,hunting_dog.n.01
324,english_setter.n.01,hunting_dog.n.01
325,weasel.n.02,carnivore.n.01
326,world.n.08,placental.n.01
327,lakeland_terrier.n.01,mammal.n.01
328,pygmy_chimpanzee.n.01,primate.n.02
329,ibizan_hound.n.01,mammal.n.01
330,war_admiral.n.01,placental.n.01
331,papillon.n.01,mammal.n.01
332,addax.n.01,mammal.n.01
333,harpy.n.03,placental.n.01
334,jaguar.n.01,carnivore.n.01
335,soft-coated_wheaten_terrier.n.01,dog.n.01
336,angora.n.04,feline.n.01
337,goat_antelope.n.01,bovid.n.01
338,tiger.n.02,carnivore.n.01
339,ferret_badger.n.01,musteline_mammal.n.01
340,arctic_ground_squirrel.n.01,rodent.n.01
341,american_water_spaniel.n.01,hunting_dog.n.01
342,sealyham_terrier.n.01,wirehair.n.01
343,squirrel.n.01,rodent.n.01
344,devon.n.02,mammal.n.01
345,cob.n.02,odd-toed_ungulate.n.01
346,woolly_rhinoceros.n.01,placental.n.01
347,percheron.n.01,horse.n.01
348,red_fox.n.02,canine.n.02
349,rat_terrier.n.01,placental.n.01
350,rhodesian_man.n.01,placental.n.01
351,lakeland_terrier.n.01,hunting_dog.n.01
352,cotton_mouse.n.01,wood_mouse.n.01
353,kangaroo_mouse.n.02,jerboa_rat.n.01
354,african_wild_ass.n.01,odd-toed_ungulate.n.01
355,woolly_monkey.n.01,new_world_monkey.n.01
356,cattalo.n.01,beef.n.01
357,yearling.n.03,mammal.n.01
358,mara.n.02,rodent.n.01
359,mountain_chinchilla.n.01,mammal.n.01
360,italian_greyhound.n.01,mammal.n.01
361,blackbuck.n.01,antelope.n.01
362,tree_wallaby.n.01,mammal.n.01
363,american_water_spaniel.n.01,mammal.n.01
364,chiacoan_peccary.n.01,even-toed_ungulate.n.01
365,harnessed_antelope.n.01,antelope.n.01
366,english_foxhound.n.01,placental.n.01
367,grizzly.n.01,bear.n.01
368,opossum.n.02,metatherian.n.01
369,white-footed_mouse.n.01,mouse.n.01
370,rock_squirrel.n.01,placental.n.01
371,bassarisk.n.01,mammal.n.01
372,gallant_fox.n.01,racehorse.n.01
373,dalmatian.n.02,mammal.n.01
374,cuscus.n.01,marsupial.n.01
375,freetail.n.01,bat.n.01
376,bullterrier.n.01,placental.n.01
377,bezoar_goat.n.01,even-toed_ungulate.n.01
378,lippizan.n.01,saddle_horse.n.01
379,foxhound.n.01,hound.n.01
380,basset.n.01,canine.n.02
381,babirusa.n.01,mammal.n.01
382,assault.n.03,thoroughbred.n.02
383,malamute.n.01,dog.n.01
384,mudder.n.01,odd-toed_ungulate.n.01
385,pony.n.02,mammal.n.01
386,rottweiler.n.01,placental.n.01
387,sorrel.n.05,horse.n.01
388,homo.n.02,placental.n.01
389,springbok.n.01,ungulate.n.01
390,przewalski's_horse.n.01,horse.n.01
391,giant_schnauzer.n.01,hunting_dog.n.01
392,elk.n.01,even-toed_ungulate.n.01
393,brown_bat.n.01,placental.n.01
394,harness_horse.n.01,placental.n.01
395,bullock.n.01,mammal.n.01
396,courser.n.03,mammal.n.01
397,bouvier_des_flandres.n.01,carnivore.n.01
398,razorback.n.01,placental.n.01
399,sea_cow.n.01,placental.n.01
400,stone_marten.n.01,placental.n.01
401,border_collie.n.01,mammal.n.01
402,old_world_buffalo.n.01,bovid.n.01
403,viverrine.n.01,placental.n.01
404,harpy.n.03,mammal.n.01
405,tarsier.n.01,primate.n.02
406,affirmed.n.01,racehorse.n.01
407,liver-spotted_dalmatian.n.01,dalmatian.n.02
408,friesian.n.01,placental.n.01
409,aardwolf.n.01,mammal.n.01
410,saki.n.03,monkey.n.01
411,horse.n.01,odd-toed_ungulate.n.01
412,mammoth.n.01,mammal.n.01
413,white-footed_mouse.n.01,placental.n.01
414,meadow_vole.n.01,vole.n.01
415,plow_horse.n.01,workhorse.n.02
416,great_pyrenees.n.01,canine.n.02
417,beagle.n.01,hound.n.01
418,meadow_jumping_mouse.n.01,jumping_mouse.n.01
419,hound.n.01,dog.n.01
420,mandrill.n.01,primate.n.02
421,thomson's_gazelle.n.01,bovid.n.01
422,round-tailed_muskrat.n.01,rodent.n.01
423,clydesdale_terrier.n.01,carnivore.n.01
424,pariah_dog.n.01,mammal.n.01
425,odd-toed_ungulate.n.01,mammal.n.01
426,irish_water_spaniel.n.01,canine.n.02
427,norfolk_terrier.n.01,dog.n.01
428,guadalupe_fur_seal.n.01,aquatic_mammal.n.01
429,otterhound.n.01,carnivore.n.01
430,aquatic_mammal.n.01,mammal.n.01
431,grey.n.07,saddle_horse.n.01
432,mantled_ground_squirrel.n.01,mammal.n.01
433,hack.n.06,horse.n.01
434,leopard_cat.n.01,placental.n.01
435,bear.n.01,mammal.n.01
436,water_chevrotain.n.01,ruminant.n.01
437,banded_palm_civet.n.01,placental.n.01
438,pygmy_sperm_whale.n.01,cetacean.n.01
439,gerenuk.n.01,antelope.n.01
440,slow_loris.n.01,lemur.n.01
441,jackrabbit.n.01,leporid.n.01
442,burmese_cat.n.01,domestic_cat.n.01
443,bull_mastiff.n.01,carnivore.n.01
444,ground_sloth.n.01,edentate.n.01
445,harbor_seal.n.01,earless_seal.n.01
446,bruin.n.01,bear.n.01
447,clydesdale_terrier.n.01,mammal.n.01
448,giant_eland.n.01,bovid.n.01
449,rambouillet.n.01,ungulate.n.01
450,bongo.n.02,ungulate.n.01
451,hare.n.01,mammal.n.01
452,vicuna.n.03,mammal.n.01
453,american_flying_squirrel.n.01,placental.n.01
454,maltese_dog.n.01,mammal.n.01
455,steenbok.n.01,even-toed_ungulate.n.01
456,bezoar_goat.n.01,ungulate.n.01
457,domestic_ass.n.01,odd-toed_ungulate.n.01
458,airedale.n.01,dog.n.01
459,briard.n.01,working_dog.n.01
460,boskop_man.n.01,placental.n.01
461,corgi.n.01,carnivore.n.01
462,viscacha.n.01,mammal.n.01
463,wild_boar.n.01,placental.n.01
464,dwarf_sperm_whale.n.01,aquatic_mammal.n.01
465,cynocephalus_variegatus.n.01,placental.n.01
466,steeplechaser.n.01,odd-toed_ungulate.n.01
467,farm_horse.n.01,workhorse.n.02
468,harpy.n.03,fruit_bat.n.01
469,grey_whale.n.01,whale.n.02
470,brittany_spaniel.n.01,dog.n.01
471,wild_sheep.n.01,ruminant.n.01
472,whitetail_prairie_dog.n.01,placental.n.01
473,grison.n.01,carnivore.n.01
474,javanthropus.n.01,hominid.n.01
475,bandicoot_rat.n.01,placental.n.01
476,harbor_porpoise.n.01,cetacean.n.01
477,tibetan_mastiff.n.01,carnivore.n.01
478,japanese_spaniel.n.01,canine.n.02
479,american_marten.n.01,mammal.n.01
480,leporid.n.01,mammal.n.01
481,bird_dog.n.01,dog.n.01
482,watchdog.n.02,placental.n.01
483,pere_david's_deer.n.01,ungulate.n.01
484,guenon.n.01,monkey.n.01
485,true_marmoset.n.01,monkey.n.01
486,whale.n.02,cetacean.n.01
487,mesohippus.n.01,horse.n.01
488,blacktail_prairie_dog.n.01,rodent.n.01
489,red_poll.n.01,bovine.n.01
490,eastern_lowland_gorilla.n.01,placental.n.01
491,wild_sheep.n.01,even-toed_ungulate.n.01
492,walker_hound.n.01,foxhound.n.01
493,brahman.n.04,bovid.n.01
494,hispid_pocket_mouse.n.01,rodent.n.01
495,hare_wallaby.n.01,mammal.n.01
496,mexican_hairless.n.01,carnivore.n.01
497,vaquita.n.01,whale.n.02
498,peba.n.01,edentate.n.01
499,stepper.n.03,ungulate.n.01
500,pygmy_sperm_whale.n.01,toothed_whale.n.01
501,tiglon.n.01,mammal.n.01
502,true_marmoset.n.01,mammal.n.01
503,madagascar_cat.n.01,lemur.n.01
504,coati.n.01,placental.n.01
505,murine.n.01,rodent.n.01
506,pug.n.01,carnivore.n.01
507,cairn.n.02,mammal.n.01
508,pole_horse.n.02,placental.n.01
509,jackass_bat.n.01,mammal.n.01
510,lesser_panda.n.01,procyonid.n.01
511,muntjac.n.01,mammal.n.01
512,brahman.n.04,mammal.n.01
513,rat_kangaroo.n.01,marsupial.n.01
514,irish_setter.n.01,setter.n.02
515,gee-gee.n.01,placental.n.01
516,impala.n.01,bovid.n.01
517,red_fox.n.02,mammal.n.01
518,saiga.n.01,placental.n.01
519,gaur.n.01,mammal.n.01
520,blackbuck.n.01,ungulate.n.01
521,yellowbelly_marmot.n.01,placental.n.01
522,tree_squirrel.n.01,rodent.n.01
523,jird.n.01,placental.n.01
524,grizzly.n.01,mammal.n.01
525,pole_horse.n.01,placental.n.01
526,three-year-old_horse.n.01,placental.n.01
527,whale.n.02,placental.n.01
528,stud.n.04,male_horse.n.01
529,atlantic_walrus.n.01,aquatic_mammal.n.01
530,santa_gertrudis.n.01,placental.n.01
531,australian_sea_lion.n.01,seal.n.09
532,old_world_monkey.n.01,monkey.n.01
533,jungle_cat.n.01,placental.n.01
534,bellwether.n.02,ungulate.n.01
535,prancer.n.01,placental.n.01
536,appaloosa.n.01,ungulate.n.01
537,american_black_bear.n.01,bear.n.01
538,marmot.n.01,rodent.n.01
539,asiatic_flying_squirrel.n.01,mammal.n.01
540,warhorse.n.03,ungulate.n.01
541,norwich_terrier.n.01,mammal.n.01
542,eland.n.01,ruminant.n.01
543,red_fox.n.02,carnivore.n.01
544,solo_man.n.01,homo_soloensis.n.01
545,australopithecus_afarensis.n.01,hominid.n.01
546,silverback.n.01,gorilla.n.01
547,markhor.n.01,wild_goat.n.01
548,dhole.n.01,mammal.n.01
549,cayuse.n.01,placental.n.01
550,guano_bat.n.01,carnivorous_bat.n.01
551,hind.n.02,red_deer.n.01
552,spotted_lynx.n.01,mammal.n.01
553,cattalo.n.01,bovine.n.01
554,dolphin.n.02,placental.n.01
555,brood_bitch.n.01,bitch.n.04
556,rhinoceros.n.01,mammal.n.01
557,hedgehog.n.02,placental.n.01
558,peba.n.01,armadillo.n.01
559,springer.n.02,mammal.n.01
560,italian_greyhound.n.01,greyhound.n.01
561,greater_kudu.n.01,kudu.n.01
562,pony.n.05,odd-toed_ungulate.n.01
563,tennessee_walker.n.01,ungulate.n.01
564,arabian_camel.n.01,placental.n.01
565,walker_hound.n.01,hunting_dog.n.01
566,mandrill.n.01,placental.n.01
567,eared_seal.n.01,seal.n.09
568,ruminant.n.01,placental.n.01
569,eland.n.01,bovid.n.01
570,pinche.n.01,monkey.n.01
571,grey_lemming.n.01,placental.n.01
572,roe_deer.n.01,ungulate.n.01
573,mountain_gorilla.n.01,gorilla.n.01
574,plains_pocket_mouse.n.01,mammal.n.01
575,bull_mastiff.n.01,mammal.n.01
576,big-eared_bat.n.01,placental.n.01
577,babirusa.n.01,swine.n.01
578,anteater.n.02,mammal.n.01
579,peking_man.n.01,homo_erectus.n.01
580,boarhound.n.01,mammal.n.01
581,dalmatian.n.02,dog.n.01
582,abyssinian.n.01,placental.n.01
583,homo_sapiens_sapiens.n.01,hominid.n.01
584,toy_terrier.n.01,carnivore.n.01
585,american_saddle_horse.n.01,saddle_horse.n.01
586,miniature_pinscher.n.01,carnivore.n.01
587,bushbuck.n.01,harnessed_antelope.n.01
588,racehorse.n.01,ungulate.n.01
589,forest_goat.n.01,ruminant.n.01
590,bighorn.n.02,bovid.n.01
591,lioness.n.01,lion.n.01
592,standard_schnauzer.n.01,canine.n.02
593,harness_horse.n.01,horse.n.01
594,redbone.n.01,hunting_dog.n.01
595,aye-aye.n.01,mammal.n.01
596,aperea.n.01,rodent.n.01
597,south_american_sea_lion.n.01,seal.n.09
598,wood_rabbit.n.01,rabbit.n.01
599,nilgai.n.01,ruminant.n.01
600,porker.n.01,placental.n.01
601,rambouillet.n.01,ruminant.n.01
602,right_whale.n.01,mammal.n.01
603,silver_fox.n.01,red_fox.n.03
604,dinoceras.n.01,placental.n.01
605,european_rabbit.n.01,mammal.n.01
606,grison.n.01,mammal.n.01
607,australopithecus_africanus.n.01,primate.n.02
608,blacktail_jackrabbit.n.01,placental.n.01
609,pilot_whale.n.01,aquatic_mammal.n.01
610,flat-coated_retriever.n.01,carnivore.n.01
611,pinniped_mammal.n.01,aquatic_mammal.n.01
612,swamp_rabbit.n.02,placental.n.01
613,tatouay.n.01,armadillo.n.01
614,steller_sea_lion.n.01,placental.n.01
615,homo_erectus.n.01,homo.n.02
616,housedog.n.01,dog.n.01
617,angora.n.02,ungulate.n.01
618,toy_terrier.n.01,mammal.n.01
619,exmoor.n.01,ungulate.n.01
620,eurasian_badger.n.01,placental.n.01
621,pentail.n.01,mammal.n.01
622,eland.n.01,even-toed_ungulate.n.01
623,harrier.n.02,hound.n.01
624,carabao.n.01,old_world_buffalo.n.01
625,monkey.n.01,mammal.n.01
626,bighorn.n.02,placental.n.01
627,stirk.n.01,placental.n.01
628,tennessee_walker.n.01,mammal.n.01
629,alaska_fur_seal.n.01,mammal.n.01
630,irish_wolfhound.n.01,carnivore.n.01
631,nanny.n.02,bovid.n.01
632,lesser_kudu.n.01,ruminant.n.01
633,silky_tamarin.n.01,new_world_monkey.n.01
634,oryx.n.01,antelope.n.01
635,cow.n.01,mammal.n.01
636,assault.n.03,ungulate.n.01
637,hudson_bay_collared_lemming.n.01,mammal.n.01
638,rhinoceros.n.01,ungulate.n.01
639,weimaraner.n.01,hound.n.01
640,lion_cub.n.01,feline.n.01
641,bull.n.01,cattle.n.01
642,koala.n.01,phalanger.n.01
643,smiledon_californicus.n.01,saber-toothed_tiger.n.01
644,grey.n.07,placental.n.01
645,blue_fox.n.01,arctic_fox.n.01
646,frosted_bat.n.01,vespertilian_bat.n.01
647,english_foxhound.n.01,mammal.n.01
648,english_toy_spaniel.n.01,carnivore.n.01
649,grade.n.09,ungulate.n.01
650,river_dolphin.n.01,mammal.n.01
651,earless_seal.n.01,mammal.n.01
652,ibizan_hound.n.01,hunting_dog.n.01
653,white_whale.n.01,whale.n.02
654,california_sea_lion.n.01,sea_lion.n.01
655,old_english_sheepdog.n.01,carnivore.n.01
656,racehorse.n.01,odd-toed_ungulate.n.01
657,serval.n.01,mammal.n.01
658,slender-tailed_meerkat.n.01,mammal.n.01
659,talapoin.n.01,monkey.n.01
660,count_fleet.n.01,odd-toed_ungulate.n.01
661,otter.n.02,placental.n.01
662,common_dolphin.n.01,dolphin.n.02
663,warrigal.n.01,wild_horse.n.01
664,sperm_whale.n.01,whale.n.02
665,alaska_fur_seal.n.01,pinniped_mammal.n.01
666,ibex.n.01,bovid.n.01
